address,price,beds,baths,area
"14541 Woodmont Ave, Detroit, MI 48227","$75,000",4,3.0,2100
"4419 Field St, Detroit, MI 48214","$449,900",5,4.0,2272
"3951 Three Mile Dr, Detroit, MI 48224","$189,000",3,2.0,1488
"5942 Devonshire Rd, Detroit, MI 48224","$169,900",3,2.0,1532
"300 Fiske Dr, Detroit, MI 48214","$575,000",5,6.0,5054
"14601 Faust Ave, Detroit, MI 48223","$239,900",3,2.0,1998
"16580 Saint Marys St, Detroit, MI 48235","$165,000",3,2.0,1836
"15096 Cruse St, Detroit, MI 48227","$120,000",3,2.0,1625
"2954 Burns St, Detroit, MI 48214","$599,900",6,4.0,3800
"7793 Concord St, Detroit, MI 48211","$319,999",4,3.0,1405
"5503 Somerset Ave, Detroit, MI 48224","$140,000",3,3.0,1304
"18644 Oak Dr, Detroit, MI 48221","$275,000",4,5.0,3634
"15780 Lesure St, Detroit, MI 48227","$75,000",4,2.0,1516
"2564 Field St, Detroit, MI 48214","$265,000",4,2.0,2347
"16134 Inverness St, Detroit, MI 48221","$164,999",3,2.0,2240
"824 Lakewood St, Detroit, MI 48215","$325,000",4,4.0,3033
"19638 Appleton St, Detroit, MI 48219","$159,900",3,2.0,1757
"15827 Rutherford St, Detroit, MI 48227","$159,999",4,2.0,2171
"8643 Greenview Ave, Detroit, MI 48228","$65,000",3,1.0,1010
"18950 Oak Dr, Detroit, MI 48221","$362,500",4,4.0,2661
"1550 W Boston Blvd, Detroit, MI 48206","$749,000",7,4.0,7558
"17325 Pontchartrain Blvd, Highland Park, MI 48203","$1,750,000",7,6.0,12563
"5545 Ridgewood St, Detroit, MI 48204","$51,900",4,2.0,1688
"11745 Rossiter St, Detroit, MI 48224","$35,000",3,1.0,1213
"19169 Coyle St, Detroit, MI 48235","$219,900",3,2.0,2047
"17647 Chester St, Detroit, MI 48224","$64,900",4,2.0,1408
"4300 Sturtevant St, Detroit, MI 48204","$219,900",3,2.0,1658
"5957 Three Mile Dr, Detroit, MI 48224","$155,000",3,2.0,1528
"70 W Boston Blvd, Detroit, MI 48202","$3,250,000",14,8.0,15379
"2465 Longfellow St, Detroit, MI 48206","$380,000",5,5.0,3052
"267 E Grand Blvd, Detroit, MI 48207","$409,900",5,2.0,2373
